rank,player,nation,position,team,league,age,birth_year,matches_played,starts,minutes,nineties_played,goals,assists,goals_assists,goals_no_pk,penalties_scored,penalties_attempted,yellow_cards,red_cards,goals_assists_no_pk,gk_goals_against,gk_goals_against_90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_draws,gk_losses,gk_clean_sheets,gk_clean_sheet_pct,gk_pk_against,gk_pk_saved,gk_pk_missed,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,minutes_per_match,minutes_pct,minutes_per_start,complete_matches,substitutions_in,minutes_per_sub,unused_sub,points_per_match,team_goals_on_pitch,team_goals_against_on_pitch,goal_diff_on_pitch,goal_diff_per_90,on_off,second_yellow,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,own_goals,position_primary,goals_per_90,assists_per_90,g_a_per_90,fouls_comm_per_90,fouls_drawn_per_90,interceptions_per_90,tackles_won_per_90,crosses_per_90
35,Adrián,ES ESP,GK,Real Betis,La Liga,39.0,1987.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,7.0,6.0,85.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,2.6,90.0,1,0,,34,3.0,2,1,1,1.0,0.73,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Julen Agirrezabala,ES ESP,GK,Valencia,La Liga,25.0,2000.0,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.0,30.0,1.67,79.0,52.0,65.8,3.0,7.0,8.0,4.0,22.2,3.0,1.0,0.0,0,0,,0.0,0.0,,,90,47.4,90.0,18,0,,4,0.89,17,30,-13,-0.72,-0.92,0,0,1,0,0,0,1,0,GK,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0
84,Alisson,BR BRA,GK,Liverpool,Premier League,33.0,1992.0,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.0,31.0,1.19,86.0,57.0,66.3,13.0,8.0,5.0,8.0,30.8,2.0,0.0,0.0,0,0,,0.0,0.0,,,90,68.4,90.0,26,0,,0,1.81,44,31,13,0.5,0.75,0,1,7,0,0,0,0,0,GK,0.0,0.0,0.0,0.038461538461538464,0.2692307692307692,0.0,0.0,0.0
116,Nícolas Andrade,BR BRA,GK,Pisa,Serie A,38.0,1988.0,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,14.0,2.33,26.0,12.0,46.2,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,,0.0,0.0,,,90,15.8,90.0,6,0,,32,0.5,4,14,-10,-1.67,-0.57,0,0,3,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
143,Alphonse Areola,FR FRA,GK,West Ham United,Premier League,33.0,1993.0,20,20,1800,20.0,0,1,1,0,0,0,0,0,0.05,37.0,1.85,108.0,76.0,70.4,4.0,5.0,11.0,0.0,0.0,5.0,0.0,1.0,0,0,,0.0,0.0,,,90,52.6,90.0,20,0,,18,0.85,25,37,-12,-0.6,-0.21,0,1,1,0,0,1,0,0,GK,0.0,0.05,0.05,0.05,0.05,0.05,0.0,0.0
146,Paul Argney,FR FRA,GK,Le Havre,Ligue 1,20.0,2006.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,2.9,90.0,1,0,,3,3.0,2,1,1,1.0,1.39,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Kepa Arrizabalaga,ES ESP,GK,Arsenal,Premier League,31.0,1994.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,2.6,90.0,1,0,,37,3.0,2,1,1,1.0,-0.16,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,Noah Atubolu,DE GER,GK,Freiburg,Bundesliga,24.0,2002.0,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,57.0,1.68,156.0,100.0,63.5,13.0,8.0,13.0,6.0,17.6,0.0,1.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,34,0,,0,1.38,51,57,-6,-0.18,,0,0,6,0,0,1,0,0,GK,0.0,0.0,0.0,0.0,0.17647058823529413,0.029411764705882353,0.0,0.0
173,Emil Audero,ID IDN,GK,Cremonese,Serie A,29.0,1997.0,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,50.0,1.47,167.0,123.0,72.5,8.0,7.0,19.0,11.0,32.4,4.0,2.0,0.0,0,0,,0.0,0.0,,,90,89.5,90.0,34,0,,2,0.91,28,50,-22,-0.65,0.1,0,0,6,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0
186,Mio Backhaus,DE GER,GK,Werder Bremen,Bundesliga,22.0,2004.0,32,32,2880,32.0,0,0,0,0,0,0,1,0,0.0,56.0,1.75,151.0,100.0,66.2,7.0,8.0,17.0,5.0,15.6,5.0,0.0,0.0,0,0,,0.0,0.0,,,90,94.1,90.0,32,0,,0,0.91,36,56,-20,-0.62,0.87,0,0,13,0,0,0,0,1,GK,0.0,0.0,0.0,0.0,0.40625,0.0,0.0,0.0
